,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,theta,mu,sigma,Prob_1,pz1_pt1,Run,Event,Z_Prob_1_abs,Bizarrice
15608,170.47562352867703,-163.50949850512703,-173.43147430763446,-156.37970474795145,3.2870672789481965,-0.8250801232963765,-1.1587786818045054,0.9637334026888175,0.5517867653565813,-0.7228501431000632,-1.0262743857005607,-1.2224034495921021,0.40293310090565093,-1.377952206834026,-1.2298491100421165,-0.9637334026888175,-0.7246635725079349,3.2870672789481965,-1.6832229628815962,173.3851200251997,-80.11720609990145,166784,50285782,173.3851200251997,922.2689174563209
12471,2.8614624571944636,-3.303494827012559,6.871725916629007,0.5708024048492751,17.331095515340202,0.20150606388016168,1.1151394794880747,-1.0376026487924075,-0.1488977717103759,-0.4585319380924871,0.8330128208522742,0.03998005877911655,0.1757930691208465,0.053818331394172136,1.0347201330040035,1.0376026487924075,-0.7766471426482054,17.331095515340202,-1.7197354641562679,6.831123997803802,0.13992870289264853,166784,22067635,6.831123997803802,39.62936928587822
31225,1.9520667008386132,-2.757983701241971,-2.734050978790458,1.9438896537373285,7.801183679881154,0.8226931381162532,-1.1774335455927372,-1.0376026487924075,0.6159297815154651,-1.242021535899772,-1.0581105179720176,1.0438964718050652,0.7572639745959873,0.9332482159357838,-1.3672791391360808,1.0376026487924075,-0.9054190995341894,7.801183679881154,-1.6712851495046044,-2.7709657325010575,0.5550601342491442,160957,104643882,2.7709657325010575,22.18648573074433
27713,1.6030072931035133,-5.101981623225219,-0.2085691140074661,-0.9384562142626178,9.12679935678344,-0.2787056122942884,-1.6391962915979095,0.9637334026888175,-0.3955687919291738,-0.6348453983150528,-0.07634508608002422,-0.24523839586260288,-0.3589598236093769,-0.6550548005149214,-1.7710180246076828,-0.9637334026888175,-1.9891558343909856,9.12679935678344,-1.7217250997190998,0.22870622108073227,-0.13659982084790792,163589,40831326,0.22870622108073227,19.06584474303
5452,1.1462832021778022,-3.6110799391398274,1.882516051743113,-0.3010275967500061,7.519298716961931,-0.06709076558066202,1.46124207000621,-1.0376026487924075,1.8715509813602758,-4.036675306662549,2.1573215438997475,-0.6220802560946613,3.8642643519316153,-0.32030615825135156,1.3612760930450556,1.0376026487924075,-1.8309965031610667,7.519298716961931,-1.7333402694913076,1.8438292347117071,-0.011010655573857485,165617,129703476,1.8438292347117071,18.048385666549553
28877,0.7730548140356157,-2.3618046948185922,-1.769517217525925,0.20911800268963618,5.432153848533836,0.19422208206427494,-1.2522724697314083,-1.0376026487924075,0.15484489374012478,-1.1902312257541388,-1.0710058380526322,0.10794523099165818,0.7496986027122946,0.0787383882304224,-1.3518980813344534,1.0376026487924075,-1.5872098442897624,5.432153848533836,-1.7060768848870975,-1.8068022062810312,0.13630146179826239,163589,48573691,1.8068022062810312,14.194829130569996
19850,1.5400412565684307,-2.282581418053095,0.7632075236666351,1.909246042424271,3.8682932021695193,1.1815809921698397,1.5652155020023841,-1.0376026487924075,-0.03225671776911164,-0.6696867241446591,0.19193984276012588,0.6210936266389061,-0.26361930255494076,1.275008995404359,1.4561166949410116,1.0376026487924075,-0.9114669303452022,3.8682932021695193,-1.6335358477449293,0.724950351775038,0.9244594901746699,163589,2589591,0.724950351775038,13.646315132576586
17493,0.7982054256671152,-2.0315217381624335,-1.624465764250113,0.682772302732342,4.75637837472119,0.5100889185177803,-1.2341662784075362,-1.0376026487924075,0.7179667949420423,-1.5898163711441065,-1.5172219674417318,0.7689247431795749,0.02727398130676785,0.5205030321457683,-1.3291874219811477,1.0376026487924075,-1.3338881490234253,4.75637837472119,-1.705485371611661,-1.6618064308191183,0.3248027391657985,166784,66059153,1.6618064308191183,13.585438147129771
28902,1.3058307348927907,-2.3906623255978614,-0.7316527150287739,1.59042584277193,4.092360826606854,1.029148497710293,-1.4624688908276313,0.9637334026888175,-0.3786245045523489,-0.3809146042271938,-0.18532827074523156,0.29923536381794275,-0.5786712704847418,1.2070452040327675,-1.566177872152073,-0.9637334026888175,-1.091112458073285,4.092360826606854,-1.7005381696716468,0.751589037134129,0.7495379697040578,163589,48807409,0.751589037134129,13.312597621408045
18854,1.2981429296322589,-1.4977267307867432,-1.2066834840799987,1.6696581654705724,3.266502214673939,1.1778631264513142,-1.2308742436213775,0.9637334026888175,2.6732149202911133,-1.625946951810368,-1.9090459653841612,3.2487817212459866,1.7993281886062664,1.500691934371613,-1.2748262104728685,-0.9637334026888175,-0.6815410987650579,3.266502214673939,-1.6407415549184283,1.2264374662352302,0.9198015290359667,166784,78060822,1.2264374662352302,12.725694074833136
